,0
0,"Você esteve sempre comigo, primo. Dividimos lembranças e um carinho que só se encontra em família. Adoro você!"
1,"O melhor dia da nossa vida é sempre aquele que estamos vivendo, pois só no presente temos a possibilidade de consertar erros do passado e a oportunidade de preparar um futuro melhor."
2,"A decepção é como um aviso, para nunca mais gerarmos tanta expectativa sobre mais ninguém nessa vida."
3,Para que um sonho continue a poder se realizar basta resistir sem nunca desistir!
4,Nenhuma batalha jamais foi ganha sem o poder do entusiasmo.
5,"Em Deus é para mim fácil confiar porque é sempre Ele que me dá força nas horas mais difíceis, nos instantes de tristeza."
6,"Enxergo bondade em todo mundo, porque sempre acredito que o bem supera todo mal que existe."
7,É sempre ao lado da minha alma gêmea que a felicidade surge no meu coração e tudo fica mais belo.💗
8,Nunca permita que o medo domine sua vontade de vencer.
9,"Nesta e nas próximas vidas, você sempre será o meu grande amor."
10,Quem não luta pelos seus direitos nunca será digno deles.
11,"O hábito do vício atenua, mas nunca afoga inteiramente a voz dos remorsos."
12,Fiz de você meu amigo e essa foi a melhor decisão de sempre. 🙏
13,A única coisa do planejamento é que as coisas nunca ocorrem como foram planejadas.
14,"Se você faz o que sempre fez, você obterá o que você sempre obteve."
15,"Nosso amor nunca acaba. Se caímos, nos levantaremos juntos e iremos até o fim lado a lado."
16,Arrisque-se! Toda vida é um risco. O homem que vai mais longe é geralmente aquele que está disposto a fazer e a ousar. O barco da segurança nunca vai muito além da margem.
17,"Sempre encontrei no sexo uma grande virtude consoladora, e nada adoça mais as minhas aflições vindas dos meus problemas do que sentir que uma pessoa amável se interessa por ele."
18,"Minha rainha, dona do meu coração, adoro a sua companhia e anseio pelo momento em que a volto a ver! Amo você agora e sempre!"
19,"Quem jamais foi um louco, jamais será um sábio."
20,"O amor nem sempre traz prazer ou alegria, às vezes ele chega recheado de decepções e amarguras!"
21,Sempre há esperança quando há vida humana.
22,"Não confio em produto local. Sempre que viajo, levo meu uísque e minha mulher."
23,"Ainda que a traição agrade, o traidor é sempre odiado."
24,"Você é aquela pessoa que me consegue fazer rir sempre, mesmo quando estou triste. Amo você do fundo do coração, primo!"
25,"Os ciumentos sempre olham para tudo com óculos de aumento, os quais engrandecem as coisas pequenas, agigantam os anões e fazem com que as suspeitas pareçam verdades."
26,Sempre há algo de extremamente sórdido nas tragédias alheias.
27,"Que nunca nos falte o amor, a alegria e a união. Bom domingo, família querida!"
28,"A vingança nunca é plena, mata a alma e a envenena."
29,Quem carrega Deus no coração tem sempre a vida iluminada.
30,"Meu Deus, Te agradeço pelo dia de hoje e por mais esta chance de aprender e de ser feliz! Oração, alegria e gratidão, hoje e sempre. Amém!"
31,Seja fiel à sua essência e jamais viva para simplesmente agradar os outros.
32,Desde sempre a minha maior parceira é a minha irmã! Esta menina faz parte de quem eu sou!
33,Nunca pense duas vezes antes de me pedir ajuda pois graças ao seu apoio hoje me encontro feliz.  Estou aqui para tudo que precises.
34,"Se pedires minha vida, eu te darei sorrindo. Se pedires que eu vá embora, para sempre partirei. Mas não me peças para te esquecer, pois jamais te esquecerei."
35,"Durante o processo de superação, nunca se esqueça que para todo esforço sempre haverá uma compensação."
36,"Obrigado, meu Deus, por me dares exatamente o que preciso e sempre na hora certa."
37,"A origem de tudo é sempre a gravidez, por isso aproveite esta fase que marca o começo do maior amor da sua vida!"
38,Nunca se esqueça de agradecer a Deus pela maravilhosa dádiva da vida.
39,"Grandes vitórias são o resultado das pequenas conquistas diárias. Lute, persista e nunca desista, pois todas elas acabarão por acontecer na sua vida."
40,"O único homem que nunca comete erros é aquele que nunca faz coisa alguma. Não tenha medo de errar, pois você aprenderá a não cometer o mesmo erro duas vezes."
41,Sou fiel aos meus sentimentos e aos meus ideais e nunca vou ceder ao que querem que eu seja!
42,"Se a nossa memória só guardasse bons momentos, nunca teríamos a chance de não cometer novamente os mesmos erros."
43,"Não deixe que o medo do fracasso impeça você de viver um sonho; não sofra antes do tempo, e talvez jamais venha a sofrer."
44,"Se tudo tem um fim eu falo que toda regra tem exceção, e no campo da amizade a nossa é eterna!"
45,Será sempre o conforto de quem me ama que me fará erguer após um momento difícil.
46,"Às vezes, o maior dos vencedores carrega grandes cicatrizes de todas as derrotas do passado, mas ele é a prova viva de que persistir sempre compensa."
47,Esta tempestade vai passar e todos ficaremos mais unidos do que nunca. Eu prometo que vai ficar tudo bem!
48,"Cultive o amor-próprio, e jamais implorará pelo amor de alguém."
49,O tempo é algo que temos grande dificuldade em administrar. Estamos sempre a um passo a trás ou à frente.
50,"Eu te agradeço, amor, porque sou uma pessoa melhor ao teu lado, mais feliz e realizada do que nunca."
51,"Podem faltar oportunidades para nos vermos mais, mas entre eu e os meus primos e primas nunca falta amor, carinho e muita amizade!"
52,"Sobrinho querido, sobrinho amado, seja sempre feliz e de preferência ao meu lado!"
53,"Almoçar é sempre um momento agradável, mas na companhia certa ele pode se tornar memorável. Bom almoço!"
54,Uma garrafa de vinho meio vazia também está meio cheia; mas uma meia mentira não será nunca uma meia verdade.
55,"Em um coração onde mora a gratidão, também habitará sempre a felicidade."
56,Que a chama desta paixão siga sempre acesa no coração de vocês. Felicidades aos noivos!
57,"Olhe sempre para as pessoas com consideração, nosso corpo é apenas uma casca e não é possível ter certeza do que acontece dentro do coração."
58,"Tenha a ousadia de ir além dos seus limites, pois só assim sentirá coisas nunca antes sentidas."
59,"A morte não leva tudo e aqueles que partem e nos deixam lindas memórias, muito amor e infinita saudade, jamais desaparecem."
60,Desistir nunca é opção para quem acredita cegamente na vitória!
61,Nem sempre juntas andam cortesia e inteligência.
62,"Nunca desista dos seus sonhos, pois sem eles a vida perde o sentido."
63,"Um amor proibido é um amor jamais esquecido, pois como nunca passa de ilusão, nunca lhe são reveladas as imperfeições dos amores concretizados."
64,Estarei aqui sempre que precisar de alguém para conversar ou para lhe dar conforto nas horas difíceis.
65,A vaidade sempre quer aplauso.
66,"Nunca quis ser melhor do que alguém, mas não admito que sejam melhores do eu."
67,"Ao meu lado senti sempre o calor dos que me amaram. Amigos, vocês são tudo para mim!"
68,"Mesmo que você ainda estivesse vivo, nunca teria conseguido preencher a minha necessidade de expressar todo a afeto que ficou oprimido."
69,"Você pode usar as melhores roupas, mas nunca estará vestida se não tiver sua dignidade no lugar certo!"
70,O temor do Senhor é o princípio da sabedoria; todos os que cumprem os seus preceitos revelam bom senso. Ele será louvado para sempre!
71,"Trabalhar duro pode nem sempre garantir o sucesso, mas fazer menos que isso garante o insucesso."
72,Uma vida nova que reserva momentos marcantes de felicidade e amor está prestes a começar! Um viva para os noivos!
73,Enquanto a fé estiver do meu lado vou sempre dar a volta por cima perante qualquer dificuldade.
74,"Na busca de um coração apaixonado, encontrei em você uma amizade para toda vida."
75,"Os tempos que passaram já não voltam, mas as saudades que eles deixaram fazem com que eu jamais os esqueça."
76,"Querida imaginação, o que mais me agrada em ti é nunca perdoares."
77,"Esta beleza é um anjo na Terra, um ser lindo e iluminado pelo bem. Que seja sempre muito feliz!👼"
78,"Esse amor pode nunca mais voltar, mas você pode sempre se erguer e superar esta etapa tão difícil."
79,"A autoestima nem sempre cai do céu como a chuva, às vezes precisamos correr atrás e descobrir como somos especiais na nossa diferença."
80,"Nunca fui na heroína, nunca me piquei. Foi o básico: fumei, cheirei, tomei ácido... e larguei isso tudo. Maconha ainda posso eventualmente fumar aqui e ali."
81,Não se deixe levar pelo desânimo e jamais permita que um obstáculo impeça você de alcançar o sucesso.
82,"Enquanto permitir que seus sonhos guiem seus passos, você sempre encontrará fortes motivos para nunca desistir da batalha."
83,Nunca subestime a capacidade das ironias do destino.
84,"As mulheres são sempre poderosas, mas uma mulher decidida e focada em um objetivo é uma força que não há como parar."
85,O cinema possibilita o contar histórias diferentes por mais que o tema seja o mesmo: flagrar o movimento do homem rumo à redenção. Há sempre uma alegoria por trás da história.
86,A alma com medo da morte nunca aprende a viver.
87,Você nunca sai perdendo quando ganha conhecimento!
88,"Aos profissionais que me fizeram parte da minha caminhada e me incentivaram a sempre ser melhor, meu eterno agradecimento."
89,"Mais do que nunca, hoje o mundo precisa de otimismo. Custe o que custar, eu irei contribuir. 🌎"
90,Aceite meu ombro amigo e saiba que pode sempre contar comigo nos momentos mais difíceis. Estou com você hoje e sempre que precisar.
91,"Um gênio esta sempre em evolução, pois sua atividade cerebral incomum é espontânea, esta sempre querendo entender o como e o porquê de tudo."
92,"Aquele que nunca viu a tristeza, nunca reconhecerá a alegria."
93,Em cada sonho meu existe uma viagem com fim para alcançar. Nasci para meus sonhos realizar!
94,"Os verdadeiros vencedores sabem que grandes conquistas exigem grandes sacrifícios, mas mesmo assim nunca desistem de lutar."
95,O seu coração irá levar você na direção certa sempre!
96,Nem sempre é o pai rico que deixa a maior herança.
97,"Sinto muito, mas a inspiração nunca chega primeiro do que o esforço."
98,"Demore o que demorar, custe o que custar, por mim e por todas as mulheres do mundo eu prometo jamais parar!"
99,"Sinto que nada nem ninguém é recíproco comigo. Eu sempre dou mais do que recebo. Vida complicada, esta!"
100,"Um sorriso tem sempre o poder de enfraquecer a tristeza, e consequentemente transmite aos que emitem muito mais beleza!"
101,O passado não reconhece o seu lugar. Está sempre presente.
102,"A violência não é força, mas fraqueza, nem nunca poderá ser criadora de coisa alguma, apenas destruidora."
103,"Um marido, ainda que sendo mau, sempre é melhor que o melhor dos sonhos."
104,"Quando se tem demasiada curiosidade acerca das coisas que se faziam nos séculos passados, fica-se quase sempre na grande ignorância das que têm lugar no presente."
105,"A solidão não me agrada, mas também não me incomoda porque estou sempre com a melhor pessoa do mundo: eu."
106,Jamais encontrei companheiro que me fosse mais companheiro que a solidão.
107,"Não adianta fugir, do meu coração você jamais conseguirá escapar."
108,"Por mais que a verdade doa, a sinceridade nunca magoa."
109,Se sonhas com uma vida melhor só tens de lutar com todas as tuas forças e nunca desistir!
110,"Estou determinado em acabar com a distância e matar a saudade, e vou esperar por justiça: quero que o amor venha me prender para sempre nos seus braços."
111,"O mundo pode estar a ruir, mas eu sempre vou encontrar flores de todas as cores para me alegrar."
112,"Mesmo que doa, por maior que seja a decepção eu optarei sempre pela verdade."
113,"Nenhum pessimista jamais descobriu o segredo das estrelas, ou navegou até uma terra desconhecida, ou abriu uma nova porta para o espírito humano."
114,Nunca diga que é tarde demais só por ter falhado na primeira tentativa.
115,Levo meu afilhado no lado esquerdo do peito para sempre guardá-lo e protegê-lo de perto.
116,"Que nossas sogras nunca se chamem Esperança, pois a esperança é a última que morre!"
117,"Nem me lembro como tudo começou, mas sei que jamais irá terminar. Eu e você, amigas para sempre!"
118,"Sempre sonhava com pessoas muito poderosas - ditadores e coisas assim. Sempre me impressionava com pessoas que poderiam ser lembradas por centenas de anos, ou até como Jesus, relembrado por milhares de anos."
119,"Os olhos de um otimista enxergam o mundo com as cores mais lindas, mas os de um pessimista veem sempre cinzento."
120,"Um homem enraivecido está sempre cheio de veneno. Se não encontrar onde derramar, irá derramar dentro de si mesmo."
121,"Mesmo que hoje não seja o mais incrível dos dias, sempre podemos nos apoiar na esperança de que amanhã será melhor."
122,"A solidão nem sempre traz infelicidade, às vezes representa o caminho para a salvação."
123,"Não me diga nada, deixe que eu colha em seus lábios a certeza de que para sempre vai me amar."
124,"Você ensina, cativa e motiva quase sem esforço; é sempre amiga e disponível e por isso é a professora mais querida por todos!"
125,Podeis enganar toda a gente durante um certo tempo; podeis mesmo enganar algumas pessoas todo o tempo; mas não vos será possível enganar sempre toda a gente.
126,"Mesmo que meu mundo pareça estar a desabar, eu não vou desistir, pois sei que Deus sempre cuidará de mim."
127,Vou guardar essa foto no celular para ver sempre que tiver vontade de rir. 😂
128,"Se você agir sempre com dignidade, pode não melhorar o mundo, mas uma coisa é certa: haverá na Terra um canalha a menos."
129,"Sempre que o amor é celebrado entre duas pessoas, uma poesia é escrita para o mundo inteiro. 

Decidimos casar e convidar você. Aceita?"
130,Minha família é tudo para mim e agradeço a Deus por poder estar sempre perto de cada um de vocês!
131,"Dói muito quando tudo termina, mas dói muito mais sempre que se prolonga o que já não tem solução."
132,"Sou o reflexo da superação dos meus medos, da vitória sobre minhas adversidades e jamais permitirei que me façam duvidar do meu valor."
133,"Eu te adoro, prima, e irei sempre adorar, porque além de primas somos cúmplices, confidentes e irmãs de coração."
134,"Eu nunca imaginei que a melhor felicidade acontece junto da loucura. Amigos doidos, vocês são tudo para mim!"
135,É importante entender que o sofrimento quase sempre é uma opção individual.
136,"Não há dúvida de que as conspirações são, às vezes, preparadas por homens de talento; mas são sempre executadas por feras."
137,"Tia, a distância que nos separa nunca vai acabar com o sentimento que nos une."
138,"Serei sempre otimista, pois acreditar é o primeiro passo para fazer acontecer!"
139,"A ação nem sempre traz felicidade, mas não há felicidade sem ação."
140,Para minha felicidade total eu preciso ter minha família unida e sempre presente.
141,Carnaval é o feriado mais esperado e quando chega é vivido tão intensamente que nem sempre é possível recordá-lo.
142,Fracassar depois de longa perseverança é muito mais sublime que nunca ter feito um esforço suficientemente bom para ser chamado de fracasso.
143,"Os homens são sempre sinceros. Mudam de sinceridade, nada mais."
144,O fatalismo é sempre uma doença do pensamento ou uma fraqueza da vontade.
145,"A manifestação da vida universal é como a correnteza de um rio, sempre em movimento. As ondas mudam constantemente e o próprio rio pode alterar o seu leito."
146,"A beleza mais bela nunca é percebida pelo pobre de espírito, pois este é totalmente cego àquilo que se lhe apresenta a três dedos ante os próprios olhos."
147,"Sorrio sempre, porque tenho fé na força que o Senhor me dá para alcançar a paz e a felicidade!"
148,"Deixe o seu sorriso mudar o mundo, mas nunca deixe o mundo mudar o seu sorriso."
149,"Se o seu plano não funcionar, mude o plano, nunca os seus objetivos."
150,A fragrância sempre permanece na mão de quem oferece flores
151,"Vencer é sempre bom, mas em equipe é ainda mais gratificante!"
152,A união da nossa equipe foi a razão do sucesso individual de cada um de nós. A todos eu serei sempre gratidão!
153,"O avarento, por mais dinheiro que tenha guardado, aparenta viver sempre na pobreza. Ele nunca demonstrar o que possui, para deixar claro o fato de nada ter para doar"
154,"Neste dia do irmão eu agradeço e homenageio aquele de quem nunca irei me separar. Te adoro, meu irmão!"
155,"Nunca estamos sós, sempre temos nós mesmos."
156,Sempre lutei pelos meus sonhos e mesmo não os alcançando continuarei a tentar!
157,"Você é tudo que sempre sonhei, quem eu mais quero ao meu lado e a única pessoa a quem entrego meu coração. Você é o grande amor da minha vida!"
158,Uma terrível perda para sempre sentida. Aceite meus pêsames.
159,Tenho certeza que meus amigos nunca me vão deixar porque no grupo sou o único com alguma sanidade mental.
160,O homem nunca deve se por em posição em que perca o que não pode se dar ao luxo de perder.
161,"Que a mente fique madura e o coração nunca envelheça e se mantenha imaturo, sempre pronto a amar perdidamente."
162,Que haja sempre verdade em tudo que você é. ✨
163,Só meu sobrinho me faz sentir jovem como nunca! 😄✨💖
164,Jamais existiu uma boa guerra ou uma paz má.
165,"Enquanto acreditarmos em nossos sonhos, nunca nos faltarão forças para lutarmos por eles."
166,"Amar é a melhor de todas as coisas, a mais bela, a que fica para sempre guardada na memória. 

Contamos com sua presença para celebrar nosso casamento!"
167,Vive a tua fé. Cristo não é uma figura que passou. Não é uma recordação que se perde na História. Vive! Jesus Christus heri et hodie: ipse et in saecula! diz São Paulo. Jesus Cristo ontem e hoje e sempre!
168,"O escritor original, enquanto não está morto, é sempre escandaloso."
169,"Eu confio em Deus e irei sempre confiar, porque Ele é grande e me protege de todo mal que existe."
170,"Não deixe a desilusão da política arruinar o amor pelo seu país. Seja patriota sempre, ame e lute pelo seu país na tempestade e na bonança."
171,"Os melhores momentos da minha vida sempre são ao seu lado, meu melhor amigo e namorado!"
172,"Prima, amiga, parceira e companheira, você é muito especial para mim e espero que nossa amizade nunca acabe!"
173,"Sinto pena de quem me critica, porque a inveja é sempre mais dolorosa para quem a pratica!"
174,Jamais diga que as estrelas estão mortas só porque o céu está nublado.
175,"Lado a lado, com apoio mútuo e sempre em igualdade, este é o significado do companheirismo."
176,"Se você não procura perfeição, você nunca alcançará excelência."
177,Jamais deixe que a sua felicidade dependa dos outros. Eles não deixariam de ser felizes por você.
178,"Sempre aprendo muito com você, madrinha, seja com os seus conselhos ou apenas observando a pessoa incrível que você é."
179,"Se, apesar de tudo, os homens não conseguem fazer com que a história tenha significado, eles podem sempre agir de uma maneira que faça suas vidas terem um."
180,"Nunca perco, mas por vezes falho. Às vezes ganho e aprendo sempre. 💪"
181,"O que passou não é mais palpável, mas felizmente continua a ser imaginável. No meu presente viverá sempre meu passado.💖"
182,"De tanto lutar para nunca se sentir perdido, um dia você acabará por encontrar o rumo certo."
183,"Além de tempo de sobra, vocês têm sempre uma palavra de carinho e apoio. Adoro meus avós!"
184,Mundo das Mensagens
185,Aquilo que se faz por amor está sempre além do bem e do mal.
186,Seja a mulher que sempre quis ser e não aquela que o mundo espera que seja. Só dessa forma descobrirá a sua força e o seu poder.
187,Ser solteiro é aproveitar a noite inteira e nunca ter hora para voltar!
188,Nunca leio um livro antes de o analisar: a leitura influencia negativamente.
189,Aprendemos com a experiência que os homens nunca aprendem com a experiência.
190,Em uma vida sem amor sempre faltará um pouco de sabor.
191,"Confia os teus cuidados ao Senhor, e ele te susterá: jamais permitirá que o justo seja abalado."
192,"Eu me zango, eu reclamo, mas no fundo sei que jamais conseguiria viver sem a minha querida irmã."
193,"Uma despedida é sempre dolorosa, pois nunca sabemos quando diremos adeus a alguém pela última vez."
194,Quem nunca chorou de tristeza não sabe dar valor a um sorriso de alegria.
195,"A traição nunca triunfa. Qual o motivo? Porque, se triunfasse, ninguém mais ousaria chamá-la de traição."
196,"Quando o amor é verdadeiro nunca o esquecemos; pode ficar para trás, mas para sempre continua vivo na memória."
197,À volta de uma pessoa com muito sucesso sempre haverá muitas mais cheias de inveja.
198,Têm coisas que só uma irmã como a minha consegue fazer por mim. Sou tão feliz por ter ela sempre ao meu lado!
199,"Quando te conheci, houve um lugar, um tempo e um sentimento. O tempo ficou marcado. O lugar será sempre lembrado. E o sentimento, jamais terá terminado!"
200,"Tentei escrever muitas coisas, mas acabei descobrindo que amar é melhor sentir do que dizer, e que milhões de frases bonitas jamais alcançariam a grandeza do que sinto por você. Resumindo... te amo."
201,"Você ainda poderá ser aquilo que sempre quis, para isto uma mudança de atitudes também poderá mudar um destino que se fazia diferente e o feria com a infelicidade."
202,Pior do que manifestar preconceitos é nunca tentar desfazer-se deles.
203,Sempre com um sorriso no rosto e amor no coração. 😀❤
204,Há pessoas que nunca se despem do seu orgulho. Até ao recordarem os seus erros fazem-no com rapidez.
205,A razão é sempre mesquinha quando se coloca ao lado do verdadeiro sentimento.
206,"Se você tivesse acreditado nas minhas brincadeiras de dizer verdades, teria ouvido muitas verdades que insisto em dizer brincando... Falei, muitas vezes, como um palhaço, mas nunca desacreditei da seriedade da plateia que sorria."
207,A mulher que amamos sempre terá razão.
208,"Esteja onde estiver eu jamais estarei só, porque quem tem uma família abençoada como a minha sente-se sempre acompanhado."
209,"Seja sempre esse sobrinho doce e meigo que apaixona qualquer tio ou tia como eu. Gosto muito, muito de você!"
210,"O Tempo passa tão rápido, pessoas entram e saem da sua vida. Você nunca deve perder a oportunidade de dizer a essas pessoas o quanto eles significam para você."
211,Hoje é o dia do seu batismo e a partir de hoje sua fé irá acompanhar você sempre.
212,Sempre levaremos a marca que esta pessoa deixou nos nossos corações.
213,Nunca perca sua fé pois é ela que lhe dará a força necessária para encarar os momentos mais difíceis.
214,"Sempre que caio vocês me ajudam a levantar e em todos os meus sucessos vocês aplaudem de pé. Agradeço por tudo, amigos!"
215,"Nunca feche os olhos para o mundo, pois há pessoas que precisam do seu olhar."
216,"O amor materno é aquele que nunca nos abandona, não importa a distância ou o tempo."
217,"Não deveríamos dar tanta importância às críticas, pois para cada solução nossa sempre haverá um crítico a nos questionar."
218,Nós nunca somos tão desamparadamente infelizes como quando perdemos um amor.
219,Precisamos de homens que possam sonhar com coisas que nunca existiram.
220,"Sejam quais forem as cirunstâncias, o amor acaba sempre por vencer e unir aqueles que lutam verdadeiramente por ele."
221,"O passado e o futuro parecem-nos sempre melhores. O presente, sempre pior."
222,"Quem nunca cometeu uma loucura, não pode ser considerado um sujeito normal."
223,"Que a vida nos traga sempre o que for bom e o que for para bem, e que nos faça sempre transbordar de alegria."
224,"Espero nunca descobrir quem eu sou realmente, pois assim não teria mais o poder de me surpreender constantemente."
225,"A vida pode ser encarada de diferentes perspetivas, mas o melhor é optar sempre pela mais positiva."
226,Meu amor por você é como visita de gente chata: nunca acaba!
227,"Serão sempre as quedas na vida que nos amadurecem, que nos preparam e fortalecem para novos desafios."
228,"Amor de avó é das melhores coisas do mundo, pois é sempre cheio de carinho e atenção."
